FID;API;Operator;Well_Name;Dir_Status;MD;TVD;Deviation;Field_Code;Field_Name
0;10613700;BAYSWATER EXPLORATION & PRODUCTION LLC;PATTI 1;Actual;6400;6399;Drifted;33399;GUNBARREL
1;510621300;GREAT WESTERN OPERATING COMPANY LLC;DIANE 1;Actual;6350;6349;Drifted;73760;RIMROCK
2;10623101;COLORADO INTERSTATE GAS COMPANY LLC;TOTEM 10;Actual;7335;7332;Directional;83000;TOTEM
3;10624800;COLORADO INTERSTATE GAS COMPANY LLC;TOTEM 22;Actual;7452;7451;Directional;83000;TOTEM
4;10624801;COLORADO INTERSTATE GAS COMPANY LLC;TOTEM 22;Actual;7452;7451;Directional;83000;TOTEM
5;10628100;GREAT WESTERN OPERATING COMPANY LLC;LAYTON GREEN 1;Actual;8400;8399;Drifted;90750;WATTENBERG
6;10628501;COLORADO INTERSTATE GAS COMPANY LLC;TOTEM 1;Actual;7250;7248;Directional;83000;TOTEM
7;10637701;COLORADO INTERSTATE GAS COMPANY LLC;TOTEM 24;Actual;7295;7293;Directional;83000;TOTEM
8;10642000;BAYSWATER EXPLORATION & PRODUCTION LLC;DUMLER 1A;Actual;7000;6998;Drifted;39350;IRONDALE
9;10643800;BAYSWATER EXPLORATION & PRODUCTION LLC;DUMLER 2-24;Actual;7000;6999;Drifted;39350;IRONDALE
10;10645100;BAYSWATER EXPLORATION & PRODUCTION LLC;DUMLER 2-A;Actual;7100;7099;Drifted;39350;IRONDALE
11;10649200;BAYSWATER EXPLORATION & PRODUCTION LLC;DUMLER 3A;Actual;7000;6999;Drifted;39350;IRONDALE
12;10662800;EXTRACTION OIL & GAS INC;AYLOR, MABEL 1;Actual;3800;3800;Drifted;77900;SPINDLE
13;510667900;PDC ENERGY INC;LETTERLY-SCOTT 1;Actual;7900;7899;Drifted;90750;WATTENBERG
14;10670300;EXTRACTION OIL & GAS INC;WENZEL 1;Actual;7850;7849;Drifted;90750;WATTENBERG
15;10674700;EXTRACTION OIL & GAS INC;WAGNER 14-13;Actual;7800;7799;Drifted;90750;WATTENBERG
16;10679300;GREAT WESTERN OPERATING COMPANY LLC;UPRR-MEYER 1;Actual;7430;7429;Drifted;11060;CHIEFTAIN
17;10698400;KERR MCGEE OIL & GAS ONSHORE LP;ALBERT SACK GAS UNIT B 1;Actual;8250;8249;Drifted;90750;WATTENBERG
18;10698701;COLORADO INTERSTATE GAS COMPANY LLC;TOTEM 11;Actual;7346;7162;Directional;83000;TOTEM
19;10702300;BAYSWATER EXPLORATION & PRODUCTION LLC;HAZLET A 2;Actual;5550;5549;Drifted;40590;JAMBOREE
20;10705300;EXTRACTION OIL & GAS INC;AYLOR 2;Actual;5075;5075;Drifted;77900;SPINDLE
21;10719900;BONANZA CREEK ENERGY OPERATING COMPANY LLC;NORTH COLORADO BOULEVARD 3;Actual;8776;8500;Directional;77900;SPINDLE
22;10720100;GREAT WESTERN OPERATING COMPANY LLC;STATE OF COLORADO AE 2;Actual;7500;7499;Drifted;11060;CHIEFTAIN
23;10740900;GREAT WESTERN OPERATING COMPANY LLC;ANTELOPE FARMS 1;Actual;6500;6499;Drifted;70875;QUAIL
24;10757800;BAYSWATER EXPLORATION & PRODUCTION LLC;STATE OF COLORADO 5;Actual;7200;7199;Drifted;70875;QUAIL
25;05-10762500;VERDAD RESOURCES LLC;BROMLEY ESTATES 1;Actual;8080;8029;Directional;90750;WATTENBERG
26;10785600;EXTRACTION OIL & GAS INC;PARD, INC. 3;Actual;8200;8199;Drifted;36600;HOLSTER
27;10802300;GREAT WESTERN OPERATING COMPANY LLC;SAUVAGE 3;Actual;7901;7900;Drifted;77900;SPINDLE
28;10805900;BAYSWATER EXPLORATION & PRODUCTION LLC;ANDERSON 4;Actual;6600;6598;Drifted;80200;SUN
29;10814200;GREAT WESTERN OPERATING COMPANY LLC;WAILES  G  UNIT 1;Actual;7250;7249;Drifted;11060;CHIEFTAIN
30;10826600;CONFLUENCE DJ LLC;PENROD 4-15 1;Actual;7950;7946;Drifted;90750;WATTENBERG
31;510851700;PDC ENERGY INC;GOOSE 1;Actual;7800;7799;Drifted;83840;TRAPPER
32;10866800;PDC ENERGY INC;MCELWAIN 3;Actual;8300;8299;Drifted;90750;WATTENBERG
33;10872000;PDC ENERGY INC;GOOSE 2;Actual;7895;7895; ;83840;TRAPPER
34;10876700;TUDEX PETROLEUM INC;HI-LAND (OWP) 10-B;Actual;5332;5100;Directional;77900;SPINDLE
35;10876800;TUDEX PETROLEUM INC;HI-LAND (OWP) 10-G;Actual;5450;5106;Directional;77900;SPINDLE
36;10881000;PETROSHARE CORPORATION;ZARLENGO 2;Actual;8425;8377;Directional;90750;WATTENBERG
37;10882900;GREAT WESTERN OPERATING COMPANY LLC;LINNEBUR-UPRR 1;Actual;7400;7399;Drifted;11060;CHIEFTAIN
38;10883100;CONFLUENCE DJ LLC;HASKINS 1;Actual;7900;7898;Drifted;90750;WATTENBERG
39;10883900;BAYSWATER EXPLORATION & PRODUCTION LLC;HAZLET  A 3;Actual;7750;7749;Drifted;40590;JAMBOREE
40;10890200;EXTRACTION OIL & GAS INC;WWC 01-09;Actual;8911;8757;Directional;90750;WATTENBERG
41;10891900;MENDELL FINISTERRE II LLC;ELMS 2;Actual;8500;8498;Drifted;77900;SPINDLE
42;10898200;KERR MCGEE OIL & GAS ONSHORE LP;DRY CREEK 1;Actual;8400;8399;Drifted;90750;WATTENBERG
43;10899700;GREAT WESTERN OPERATING COMPANY LLC;WYMAN 33-6;Actual;7900;7899;Drifted;90750;WATTENBERG
44;10902300;PDC ENERGY INC;"MCKAY LAKE """"F"""" UNIT 1";Actual;8920;5760;Directional;90750;WATTENBERG
45;10907300;CONFLUENCE DJ LLC;KALLSEN A-1;Actual;7900;7898;Drifted;90750;WATTENBERG
46;10910300;EXTRACTION OIL & GAS INC;BOX ELDER HH 22-3J;Actual;7900;7899; ;90750;WATTENBERG
47;10912000;GREAT WESTERN OPERATING COMPANY LLC;STONEHOCKER 31-7;Actual;7900;7898;Drifted;77900;SPINDLE
48;510912300;PDC ENERGY INC;GUTHRIE 11-2;Actual;8100;8095;Drifted;90750;WATTENBERG
49;10913200;EXTRACTION OIL & GAS INC;FOSTER 1-22;Actual;8500;8498;Drifted;90750;WATTENBERG
50;10919200;GREAT WESTERN OPERATING COMPANY LLC;NEWLANDER H UNIT 1;Actual;7330;7328;Drifted;90750;WATTENBERG
51;10919300;GREAT WESTERN OPERATING COMPANY LLC;SHAW E UNIT 1;Actual;7950;7944; ;90750;WATTENBERG
52;10927400;PDC ENERGY INC;MCELWAIN 41-17;Actual;7750;7748;Drifted;90750;WATTENBERG
53;10927500;PDC ENERGY INC;MCELWAIN 42-17;Actual;4900;4896;Drifted;90750;WATTENBERG
54;10929200;PETROSHARE CORPORATION;WYMAN 34-6;Actual;7900;7899;Vertical;90750;WATTENBERG
55;10932900;KERR MCGEE OIL & GAS ONSHORE LP;HSR-NOAH BASS 11-21;Actual;8000;7999;Drifted;90750;WATTENBERG
56;10933000;KERR MCGEE OIL & GAS ONSHORE LP;HSR-FULENWIDER 6-21;Actual;7900;7899;Drifted;90750;WATTENBERG
57;10933100;KERR MCGEE OIL & GAS ONSHORE LP;HSR-FULENWIDER 10-21;Actual;7900;7898;Drifted;90750;WATTENBERG
58;10933200;KERR MCGEE OIL & GAS ONSHORE LP;HSR-LOMA ALTA 1-21;Actual;7900;7898;Drifted;90750;WATTENBERG
59;10936200;TUDEX PETROLEUM INC;LENART (OWP) S-1;Actual;5133;5087;Directional;90750;WATTENBERG
60;10936300;TUDEX PETROLEUM INC;TUDEX BRINK (OWP) S-2;Actual;5134;5103;Directional;90750;WATTENBERG
61;10936500;MENDELL FINISTERRE II LLC;TUDEX REINHOLT NC4;Actual;8450;8449;Drifted;77900;SPINDLE
62;10936600;TUDEX PETROLEUM INC;BUSCHMAN, HAROLD S-5;Actual;5166;5073;Directional;90750;WATTENBERG
63;10942500;PDC ENERGY INC;DEGENHART 13-5;Actual;8000;7999;Drifted;90750;WATTENBERG
64;10942600;GREAT WESTERN OPERATING COMPANY LLC;SAUVAGE 11-7;Actual;7201;7198;Drifted;77900;SPINDLE
65;10945700;GREAT WESTERN OPERATING COMPANY LLC;NORTH COLORADO 12-13;Actual;8848;8642;Directional;77900;SPINDLE
66;10946800;PETROSHARE CORPORATION;ZARLENGO 21-4;Actual;8515;8452;Directional;90750;WATTENBERG
67;10950600;KP KAUFFMAN COMPANY INC;STANDLEY 1-2;Actual;8565;8516;Directional;90750;WATTENBERG
68;510950700;KP KAUFFMAN COMPANY INC;STANDLEY 2-2;Actual;8900;8674;Directional;90750;WATTENBERG
69;10950900;KP KAUFFMAN COMPANY INC;MORRISON 11-1;Actual;8152;7026;Directional;77900;SPINDLE
70;10951700;GREAT WESTERN OPERATING COMPANY LLC;SELTZER PP 4-2JI;Actual;8200;8198;Drifted;90750;WATTENBERG
71;10951800;KP KAUFFMAN COMPANY INC;NORTH YORK 13-12;Actual;8268;8162;Directional;77900;SPINDLE
72;10952700;KP KAUFFMAN COMPANY INC;STANDLEY 5-2;Actual;8826;8606;Directional;90750;WATTENBERG
73;10952800;KP KAUFFMAN COMPANY INC;STANDLEY 6-2;Actual;9063;8666;Directional;90750;WATTENBERG
74;10952900;SCHNEIDER ENERGY SERVICES INC;Ruby 2;Actual;8995;8802;Directional;90750;WATTENBERG
75;10953100;KP KAUFFMAN COMPANY INC;STANDLEY 8-3;Actual;8775;8603;Directional;90750;WATTENBERG
76;10956300;PETROSHARE CORPORATION;GUTHRIE 42-2;Actual;7419;7393;Directional;90750;WATTENBERG
77;05-10956400;PETROSHARE CORPORATION;GUTHRIE 12-2;Actual;8414;8396;Directional;90750;WATTENBERG
78;10958200;KP KAUFFMAN COMPANY INC;CHRISTENSEN 4-9;Actual;8796;8691;Directional;77900;SPINDLE
